classification;digit;code;OJI;OPI;OSI;CAI
isco88;2;10;6;6;9;6
isco88;2;11;4;2;6;3
isco88;2;12;4;2;6;4
isco88;2;13;6;5;9;6
isco88;2;21;1;1;2;3
isco88;2;22;6;5;6;6
isco88;2;23;4;4;5;1
isco88;2;24;1;1;1;1
isco88;2;31;5;5;7;5
isco88;2;32;6;6;6;6
isco88;2;33;5;6;5;5
isco88;2;34;3;3;3;2
isco88;2;41;2;2;1;3
isco88;2;42;5;4;8;5
isco88;2;51;7;7;9;7
isco88;2;52;7;6;8;6
isco88;2;61;9;10;3;8
isco88;2;71;10;10;3;10
isco88;2;72;9;9;7;8
isco88;2;73;6;7;6;10
isco88;2;74;6;8;5;10
isco88;2;81;10;8;9;10
isco88;2;82;10;8;10;9
isco88;2;83;8;7;10;7
isco88;2;91;8;8;9;7
isco88;2;92;6;8;6;8
isco88;2;93;7;9;5;8
isco88;3;100;6;6;9;7
isco88;3;111;4;2;7;4
isco88;3;114;3;3;5;2
isco88;3;120;4;4;6;4
isco88;3;121;4;3;7;4
isco88;3;122;5;4;8;5
isco88;3;123;3;1;6;1
isco88;3;130;6;4;10;5
isco88;3;131;6;5;9;7
isco88;3;211;3;4;2;5
isco88;3;212;1;1;1;2
isco88;3;213;3;1;5;1
isco88;3;214;2;1;2;4
isco88;3;221;5;5;5;7
isco88;3;222;6;6;9;7
isco88;3;231;4;4;5;2
isco88;3;232;5;5;5;3
isco88;3;233;5;5;5;3
isco88;3;234;5;5;4;2
isco88;3;235;4;4;4;2
isco88;3;240;2;2;3;3
isco88;3;241;1;1;2;1
isco88;3;242;1;1;2;1
isco88;3;243;2;3;1;3
isco88;3;244;2;2;2;2
isco88;3;245;4;4;6;4
isco88;3;246;3;2;5;1
isco88;3;247;2;1;3;1
isco88;3;311;4;4;3;6
isco88;3;312;3;3;6;2
isco88;3;313;6;6;9;4
isco88;3;314;6;6;10;5
isco88;3;315;6;5;8;7
isco88;3;321;5;5;5;7
isco88;3;322;4;5;3;5
isco88;3;323;8;7;10;5
isco88;3;332;5;6;5;3
isco88;3;333;6;6;6;4
