classification;digit;code;OJI;OPI;OSI;HWI;CAI
isco08;2;1;5;5;7;8;6
isco08;2;2;7;9;6;6;7
isco08;2;3;5;6;6;7;6
isco08;2;11;3;2;5;3;2
isco08;2;12;3;1;5;2;2
isco08;2;13;4;3;7;4;3
isco08;2;14;5;5;7;5;5
isco08;2;21;1;2;1;1;3
isco08;2;22;6;6;7;6;5
isco08;2;23;4;4;5;4;2
isco08;2;24;1;1;2;1;1
isco08;2;25;1;1;3;1;1
isco08;2;26;3;2;4;2;2
isco08;2;31;5;6;4;4;7
isco08;2;32;6;6;9;7;6
isco08;2;33;1;1;1;1;1
isco08;2;34;5;5;6;5;5
isco08;2;35;4;5;4;4;5
isco08;2;41;2;3;2;3;3
isco08;2;42;4;4;6;3;4
isco08;2;43;3;3;3;3;4
isco08;2;44;3;4;4;5;4
isco08;2;51;7;7;9;7;8
isco08;2;52;6;5;8;6;5
isco08;2;53;7;7;8;9;4
isco08;2;54;8;7;10;5;7
isco08;2;61;8;9;6;9;9
isco08;2;62;10;10;4;9;10
isco08;2;71;10;10;2;10;10
isco08;2;72;9;10;5;8;9
isco08;2;73;7;7;7;7;9
isco08;2;74;7;8;3;8;8
isco08;2;75;8;8;7;10;9
isco08;2;81;10;9;10;9;10
isco08;2;82;8;8;7;9;6
isco08;2;83;8;8;10;6;7
isco08;2;91;9;9;7;9;9
isco08;2;92;8;9;4;9;7
isco08;2;93;9;9;9;10;8
isco08;2;94;10;8;10;8;8
isco08;2;96;;;;8;6
isco08;3;11;5;5;7;8;7
isco08;3;21;8;9;6;6;8
isco08;3;31;6;6;7;7;6
isco08;3;111;3;2;4;3;2
isco08;3;112;3;2;7;3;2
isco08;3;121;3;1;4;2;1
isco08;3;122;3;1;8;2;2
isco08;3;132;4;3;6;4;6
isco08;3;133;4;3;8;3;2
isco08;3;134;4;3;8;4;2
isco08;3;141;5;5;9;6;6
isco08;3;142;5;5;8;6;4
isco08;3;143;5;5;9;5;4
isco08;3;211;1;3;1;1;5
isco08;3;212;1;2;1;1;2
isco08;3;213;2;2;1;1;2
isco08;3;214;1;2;1;2;5
isco08;3;215;1;2;1;1;4
isco08;3;216;1;2;1;1;3
isco08;3;221;6;6;9;6;5
isco08;3;222;7;6;9;7;4
isco08;3;223;6;6;8;6;5
isco08;3;224;5;6;8;6;5
isco08;3;225;6;6;8;7;6
isco08;3;226;5;6;6;6;3
isco08;3;231;4;4;5;4;3
isco08;3;232;4;4;5;4;4
isco08;3;233;4;4;7;4;4
isco08;3;234;4;4;5;4;3
isco08;3;235;4;4;6;3;4
isco08;3;241;1;1;1;1;1
isco08;3;242;1;1;2;1;1
isco08;3;243;1;1;4;1;1
isco08;3;251;1;1;2;1;1
isco08;3;252;2;1;5;1;1
isco08;3;261;3;2;5;2;1
isco08;3;262;3;3;3;3;5
isco08;3;263;3;3;5;2;2
isco08;3;264;3;2;4;1;1
isco08;3;265;4;3;8;3;1
isco08;3;311;5;6;3;4;7
isco08;3;312;6;6;6;5;8
isco08;3;313;5;6;4;5;8
isco08;3;314;5;6;2;4;8
isco08;3;315;6;6;9;4;7
isco08;3;321;7;7;8;7;6
isco08;3;322;7;7;10;9;6
isco08;3;324;7;7;8;7;6
isco08;3;325;5;6;5;6;6
isco08;3;331;1;1;1;1;1
isco08;3;332;2;1;2;1;1
isco08;3;333;2;2;3;2;2
isco08;3;334;2;2;2;2;2
